DateTime,Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle,good_name,confidence
2016-01-12 5:30,2016-01-12,42,5:30,Tuesday,dynamic dr to finch station,General Delay,15.0,35.0,b/w,,Yonge St at Finch Ave East,50
2016-01-12 5:30,2016-01-12,75,5:30,Tuesday,queen quay to south dr,General Delay,10.0,15.0,b/w,,South Dr at Glen Rd,60
2016-01-12 5:45,2016-01-12,85,5:45,Tuesday,sheppard station to rouge hill go,General Delay,64.0,20.0,B/W,,Lawrence Ave East at East Ave - Rouge Hill GO Station,60
2016-01-12 6:00,2016-01-12,62,6:00,Tuesday,mortimer route,General Delay,10.0,1.0,B/W,,Mortimer Ave at Coxwell Ave - Michael Garron Hospital,50
2016-01-12 6:00,2016-01-12,191,6:00,Tuesday,kipling station to all branches,General Delay,1.0,1.0,BW,1.0,Kipling Ave at Bloor St West North Side,40
2016-01-12 6:00,2016-01-12,132,6:00,Tuesday,scarborough town centre to hupfield and sewells,General Delay,15.0,16.0,B/W,,Sheppard Ave East at Hupfield Trail,40
2016-01-12 6:00,2016-01-12,84,6:00,Tuesday,shepp station to all branches,General Delay,1.0,1.0,BW,1.0,Sheppard-Yonge Station,50
2016-01-12 6:00,2016-01-12,86,6:00,Tuesday,kennedy station - toronto zoo,General Delay,10.0,26.0,BW,,Kennedy Station,65
2016-01-12 6:00,2016-01-12,92,6:00,Tuesday,woodbine south route,General Delay,10.0,1.0,B/W,,Woodbine Ave,60
2016-01-12 6:00,2016-01-12,45,6:00,Tuesday,route 45 kipling,General Delay,10.0,20.0,b/w,,Kipling Ave,60
2016-01-12 6:00,2016-01-12,198,6:00,Tuesday,kennedy station - u of t loop,General Delay,10.0,20.0,BW,,Kennedy Station,60
2016-01-12 6:00,2016-01-12,82,6:00,Tuesday,summerhill to rosedale station,General Delay,10.0,1.0,b/w,,Summerhill Station,50
2016-01-12 6:15,2016-01-12,86,6:15,Tuesday,eglinton & huntington,Mechanical,8.0,15.0,E,7432.0,Huntingwood Dr at Eglinton Ave East,20
2016-01-12 6:30,2016-01-12,9,6:30,Tuesday,warden station to scarborough town center,General Delay,15.0,24.0,B/W's,,Scarborough Centre Station,60
2016-01-12 6:30,2016-01-12,16,6:30,Tuesday,warden station to scarborough town center,General Delay,22.0,33.0,B/W's,,Scarborough Centre Station,60
2016-01-12 6:30,2016-01-12,192,6:30,Tuesday,route 192 airport rocket,General Delay,10.0,25.0,b/w,,Airport Rd at Beverley St,60
2016-01-12 6:36,2016-01-12,60,6:36,Tuesday,fstn,Late Leaving Garage,7.0,8.0,W,8481.0,Front St East at Parliament St,30
2016-01-12 6:45,2016-01-12,130,6:45,Tuesday,scarborough town centre to steeles,General Delay,15.0,18.0,B/W,,Steeles Ave East at Birchmount Rd,50
2016-01-12 6:45,2016-01-12,95,6:45,Tuesday,u of t loop,Late Leaving Garage,9.0,18.0,W,1739.0,University of Toronto Scarborough,60
2016-01-12 7:00,2016-01-12,32,7:00,Tuesday,skymark to yonge,General Delay,42.0,52.0,b/w,,Yonge St at Irwin Ave,40
2016-01-12 7:00,2016-01-12,112,7:00,Tuesday,route 112 west mall,General Delay,10.0,25.0,b/w,,The West Mall at Sherway Dr - Trillium Health Centre (South Stop),60
2016-01-12 7:00,2016-01-12,139,7:00,Tuesday,139 finch express route donmills to neilson,General Delay,35.0,45.0,Both Ways,,Finch Ave East at Neilson Rd West Side,50
2016-01-12 7:00,2016-01-12,49,7:00,Tuesday,route 49 bloor w,General Delay,10.0,25.0,b/w,,Bloor St West at Bathurst St,50
2016-01-12 7:00,2016-01-12,33,7:00,Tuesday,st.clair west to roselawn and chaplin,General Delay,10.0,1.0,b/w,,St Clair Ave West at Chaplin Cres,60
2016-01-12 7:00,2016-01-12,95,7:00,Tuesday,ykms to kingston rd loop,General Delay,20.0,30.0,bw,,York Mills Rd at Yonge St,30
2016-01-12 7:12,2016-01-12,95,7:12,Tuesday,u of t loop,Mechanical,6.0,15.0,w,1783.0,University of Toronto Scarborough,60
2016-01-12 7:21,2016-01-12,95,7:21,Tuesday,u of t loop,Mechanical,9.0,18.0,w,1757.0,University of Toronto Scarborough,60
2016-01-12 7:30,2016-01-12,199,7:30,Tuesday,finch station to scarborough town centre,General Delay,25.0,35.0,B/W,1761.0,Finch Ave West at Yonge St - Finch Station,45
2016-01-12 7:30,2016-01-12,39,7:30,Tuesday,finch station to old finch,General Delay,25.0,35.0,B/W,1759.0,Finch Ave West at Yonge St - Finch Station,45
2016-01-12 9:00,2016-01-12,94,9:00,Tuesday,wellsley route,General Delay,20.0,0.0,b/w,,Wellesley St East at Ontario St,60
2016-01-12 9:00,2016-01-12,8,9:00,Tuesday,broadview route,General Delay,12.0,1.0,B/W,,Broadview Ave at Erindale Ave,60
2016-01-12 15:36,2016-01-12,172,15:36,Tuesday,cherry st and lakeshore,Diversion,101.0,121.0,NB,7808.0,Lake Shore Blvd West at First St,60
2016-01-12 16:00,2016-01-12,60,16:00,Tuesday,entire 60 steeles west,General Delay,12.0,24.0,B/W,,6793-6823 Steeles Ave West,50
2016-01-12 16:50,2016-01-12,76,16:50,Tuesday,royal york at lakeshore,Utilized Off Route,5.0,10.0,S/B,8096.0,Lake Shore Blvd West at Royal York Rd,60
2016-01-12 16:57,2016-01-12,112,16:57,Tuesday,west mall cres,Diversion,23.0,47.0,n,8069.0,The West Mall at Sherway Dr - Trillium Health Centre (South Stop),50
2016-01-12 21:21,2016-01-12,68,21:21,Tuesday,burmburgh cir,Diversion,32.0,64.0,B/W,,Bamburgh Cir,60
2016-01-13 6:11,2016-01-13,63,6:11,Wednesday,mt dennis garage pod eg w station,Investigation,3.0,7.0,S,1541.0,Mount Dennis Garage,60
2016-01-13 6:31,2016-01-13,63,6:31,Wednesday,mt dennis garage pod eg w station,Mechanical,4.0,8.0,S,1025.0,Mount Dennis Garage,60
2016-01-13 6:40,2016-01-13,36,6:40,Wednesday,fstn,Utilized Off Route,5.0,10.0,W,9103.0,Front St East at Parliament St,30
2016-01-13 12:30,2016-01-13,60,12:30,Wednesday,entire 60 steeles west,General Delay,15.0,30.0,B/W,,6793-6823 Steeles Ave West,50
2016-01-13 14:06,2016-01-13,7,14:06,Wednesday,wilson ave,Mechanical,5.0,10.0,N,9014.0,Wilson Ave,50
2016-01-13 16:30,2016-01-13,59,16:30,Wednesday,entire 59 maple leaf route,General Delay,20.0,40.0,B/W,,Maple Leaf Dr at Jane St,60
2016-01-13 17:00,2016-01-13,160,17:00,Wednesday,bathurst north route,General Delay,20.0,35.0,B,,Bathurst St at Steeles Ave West,60
2016-01-14 4:18,2016-01-14,302,4:18,Thursday,steeles and mccowan loop.,Mechanical,30.0,60.0,S,8101.0,McCowan Rd Loop at Steeles Ave East,60
2016-01-14 16:19,2016-01-14,160,16:19,Thursday,wilson ave,Mechanical,1.0,1.0,N,8170.0,Wilson Ave,50
2016-01-14 16:30,2016-01-14,36,16:30,Thursday,fstn,Mechanical,7.0,14.0,W,9132.0,Front St East at Parliament St,30
2016-01-15 0:04,2016-01-15,39,0:04,Friday,finch and tollerton,Emergency Services,9.0,18.0,W,1351.0,Finch Ave West at Tobermory Dr,50
2016-01-15 0:10,2016-01-15,88,0:10,Friday,st. clair station,Mechanical,20.0,40.0,S,8356.0,St Clair Ave West at Avenue Rd East Side,60
2016-01-15 0:30,2016-01-15,46,0:30,Friday,kipling and burmathorpe,Diversion,75.0,105.0,s/b,1342.0,Kipling Ave at Burnhamthorpe Rd,50
2016-01-15 8:30,2016-01-15,57,8:30,Friday,midland route,General Delay,0.0,0.0,B,7814.0,Midland Ave,50
2016-01-15 12:15,2016-01-15,84,12:15,Friday,bathurts,Investigation,7.0,14.0,W,1266.0,Bathurst St at Dundas St West - Toronto Western Hospital,60
2016-01-15 13:55,2016-01-15,36,13:55,Friday,fstn,Mechanical,5.0,10.0,W,1371.0,Front St East at Parliament St,30
2016-01-15 14:25,2016-01-15,89,14:25,Friday,weston nd wilson,Mechanical,10.0,19.0,N/B,1421.0,Weston Rd at Wilson Ave,60
2016-01-15 15:00,2016-01-15,36,15:00,Friday,keele,General Delay,5.0,10.0,B/W,,Keele St at Rogers Rd,50
2016-01-15 15:34,2016-01-15,36,15:34,Friday,fstn,Mechanical,6.0,12.0,W,9135.0,Front St East at Parliament St,30
2016-01-15 16:00,2016-01-15,68,16:00,Friday,68warden route,General Delay,6.0,12.0,B/W,,Warden Ave at Eglinton Ave East,50
2016-01-15 16:00,2016-01-15,57,16:00,Friday,midland route,General Delay,15.0,1.0,BW,,Midland Ave,50
2016-01-15 16:30,2016-01-15,97,16:30,Friday,97 yonge service,General Delay,20.0,50.0,BW,,Yonge St at Finch Ave West - Finch Station,40
2016-01-15 16:30,2016-01-15,94,16:30,Friday,parliament route,General Delay,15.0,1.0,BW,,Parliament St at Carlton St,60
2016-01-15 21:16,2016-01-15,199,21:16,Friday,finch and tollerton,Investigation,7.0,14.0,W,1129.0,Finch Ave West at Tobermory Dr,50
2016-01-16 14:30,2016-01-16,29,14:30,Saturday,manitoba,Emergency Services,4.0,8.0,n,8170.0,Exhibition Loop at Manitoba Dr,60
2016-01-17 9:35,2016-01-17,29,9:35,Sunday,cne grounds,Diversion,602.0,612.0,B,9006.0,Exhibition Loop,60
2016-01-18 6:00,2016-01-18,27,6:00,Monday,ellesmere rt,Late Leaving Garage,7.0,14.0,w,1800.0,Ellesmere Rd at Military Trail,60
2016-01-18 6:57,2016-01-18,95,6:57,Monday,ellesmere rt,Late Leaving Garage,7.0,14.0,w,1788.0,Ellesmere Rd at Military Trail,60
2016-01-18 7:30,2016-01-18,109,7:30,Monday,neptune to eglinton west station,General Delay,20.0,35.0,b/w,,Eglinton Ave West at Bathurst St,50
2016-01-18 7:30,2016-01-18,42,7:30,Monday,finch station to dynamic,General Delay,15.0,30.0,b/w,,Dynamic Dr at Passmore Ave,50
2016-01-18 8:00,2016-01-18,94,8:00,Monday,wellsley route,General Delay,15.0,0.0,B/W,,Wellesley St East at Ontario St,60
2016-01-18 8:00,2016-01-18,97,8:00,Monday,97 yonge service,General Delay,15.0,45.0,BW,,Yonge St at Finch Ave West - Finch Station,40
2016-01-18 8:00,2016-01-18,112,8:00,Monday,route 112 west mall,General Delay,10.0,20.0,b/w,,The West Mall at Sherway Dr - Trillium Health Centre (South Stop),60
2016-01-18 8:00,2016-01-18,192,8:00,Monday,route 192 airport rocket,General Delay,10.0,25.0,b/w,,Airport Rd at Beverley St,60
2016-01-18 8:00,2016-01-18,45,8:00,Monday,route 45 kipling,General Delay,7.0,15.0,b/w,,Kipling Ave,60
2016-01-18 12:06,2016-01-18,44,12:06,Monday,sam smith blvd/humber college bldg.,Investigation,4.0,8.0,s/b,8020.0,Colonel Samuel Smith Park Dr,60
2016-01-18 18:00,2016-01-18,79,18:00,Monday,raymore and scarlett,Mechanical,12.0,24.0,s/b,1547.0,Scarlett Rd at Raymore Dr,60
2016-01-18 19:12,2016-01-18,35,19:12,Monday,annet/,Utilized Off Route,5.0,10.0,n,8439.0,Annette St at Durie St,60
2016-01-19 7:34,2016-01-19,64,7:34,Tuesday,main route,General Delay,30.0,1.0,B/W,7732.0,Main Street Station,60
2016-01-19 14:08,2016-01-19,52,14:08,Tuesday,mt dennis division,Late Leaving Garage,16.0,32.0,up,1238.0,Mt Dennis Dr at Linkwood Lane,50
2016-01-19 15:20,2016-01-19,7,15:20,Tuesday,wilson ave,Emergency Services,8.0,16.0,N,9023.0,Wilson Ave,50
2016-01-19 18:47,2016-01-19,45,18:47,Tuesday,kipling at finch,Investigation,7.0,15.0,S,8097.0,Islington Ave at Finch Ave West,25
2016-01-20 4:00,2016-01-20,312,4:00,Wednesday,st. clair station,Mechanical,30.0,60.0,W,1020.0,St Clair Ave West at Avenue Rd East Side,60
2016-01-20 5:55,2016-01-20,69,5:55,Wednesday,warden between danforth rd and danforth ave,Diversion,1.0,1.0,SB,7743.0,Warden Ave at Danforth Rd,60
2016-01-20 15:45,2016-01-20,37,15:45,Wednesday,queens plate & rexdal,Diversion,72.0,90.0,B/W,8096.0,Highway 27 at Queen's Plate Dr - Woodbine Centre,60
2016-01-21 6:50,2016-01-21,108,6:50,Thursday,keele,Mechanical,16.0,38.0,W,7952.0,Keele St at Rogers Rd,50
2016-01-21 11:32,2016-01-21,42,11:32,Thursday,cummer and mallaby,Emergency Services,26.0,52.0,WB,1814.0,Cummer Ave at Bayview Ave,50
2016-01-21 13:03,2016-01-21,104,13:03,Thursday,dufferin and kennard,Diversion,38.0,53.0,b,8167.0,Dufferin St at Kennard Ave,50
2016-01-21 14:19,2016-01-21,53,14:19,Thursday,bayview and steeels,Late Leaving Garage,6.0,12.0,wb,1278.0,Steeles Ave East at Bayview Ave,50
2016-01-21 14:38,2016-01-21,75,14:38,Thursday,bloor,Mechanical,6.0,12.0,S,8376.0,Bloor St West at Ossington Ave,40
2016-01-21 14:45,2016-01-21,7,14:45,Thursday,wilson ave,Mechanical,6.0,12.0,N,9050.0,Wilson Ave,50
2016-01-21 14:49,2016-01-21,60,14:49,Thursday,fstn,Mechanical,12.0,24.0,W,8494.0,Front St East at Parliament St,30
2016-01-21 16:37,2016-01-21,36,16:37,Thursday,fstn,Mechanical,12.0,24.0,W,9110.0,Front St East at Parliament St,30
2016-01-21 18:03,2016-01-21,60,18:03,Thursday,fstn,Mechanical,7.0,14.0,W,8500.0,Front St East at Parliament St,30
2016-01-22 8:01,2016-01-22,39,8:01,Friday,chartland blvd./finch ave,Mechanical,7.0,11.0,E,1372.0,Chartland Blvd at Brimley Rd,50
2016-01-22 15:21,2016-01-22,60,15:21,Friday,fstn,Late Leaving Garage,11.0,22.0,W,1288.0,Front St East at Parliament St,30
2016-01-23 5:51,2016-01-23,41,5:51,Saturday,keele approaching lawrence west,Diversion,65.0,85.0,n/b,1421.0,Keele St at Lawrence Ave West,60
2016-01-23 5:51,2016-01-23,41,5:51,Saturday,keele appoaching lawrence,Diversion,20.0,40.0,n/b,1421.0,Keele St at Lawrence Ave West,65
2016-01-23 6:02,2016-01-23,45,6:02,Saturday,garage / kipling station,Mechanical,10.0,20.0,n,7967.0,Kipling Ave at Belfield Rd - Etobicoke North GO Station,60
2016-01-23 7:23,2016-01-23,81,7:23,Saturday,65 thorncliffe,Mechanical,15.0,30.0,S/B,7827.0,65 Skyway Ave,50
2016-01-23 10:00,2016-01-23,86,10:00,Saturday,guildwood go,Mechanical,10.0,20.0,E/B,7452.0,Guildwood Pkwy at Navarre Cres,60
2016-01-23 12:53,2016-01-23,709,12:53,Saturday,eglinton west,Utilized Off Route,1.0,11.0,sb,1651.0,Eglinton Ave West at Bathurst St,65
2016-01-23 17:20,2016-01-23,60,17:20,Saturday,keele at chimney stack,Mechanical,10.0,20.0,S,1368.0,Keele St at Ian MacDonald Blvd,50
2016-01-23 18:26,2016-01-23,90,18:26,Saturday,jesmond and wilson,Mechanical,8.0,16.0,S,8383.0,Wilson Ave at Julian Rd East Side - Humber River Hospital,50
2016-01-23 20:25,2016-01-23,43,20:25,Saturday,sheppard  on kennedy,Mechanical,10.0,20.0,N/B,7520.0,Sheppard Ave East at Kennedy Rd,60
2016-01-24 6:21,2016-01-24,320,6:21,Sunday,steeles ave loop at yonge st,Late Leaving Garage,3.0,6.0,S/B,8312.0,Steeles Ave West at Yonge St West Side - Centerpoint Mall,50
2016-01-24 9:00,2016-01-24,40,9:00,Sunday,dundas west station to runnymede loop,General Delay,15.0,1.0,BW,,Dundas St West at Runnymede Rd,60
2016-01-25 9:20,2016-01-25,112,9:20,Monday,carlingview/internationalq,Mechanical,15.0,30.0,s/b,8082.0,Airport Rd at American Dr,60
2016-01-25 10:59,2016-01-25,36,10:59,Monday,ancona/finch,Investigation,5.0,10.0,E,9120.0,Finch Ave West at Ancona St,60
2016-01-25 11:20,2016-01-25,88,11:20,Monday,thorncliffe park - entire section,Diversion,103.0,133.0,BW,8176.0,Overlea Blvd at Thorncliffe Park Dr (East),60
2016-01-26 7:17,2016-01-26,38,7:17,Tuesday,u of t loop,Late Leaving Garage,7.0,15.0,W,1783.0,University of Toronto Scarborough,60
2016-01-26 8:00,2016-01-26,94,8:00,Tuesday,wellesley -parliament to yonge,General Delay,13.0,1.0,B/W,,Wellesley St East at Parliament St,60
2016-01-26 13:00,2016-01-26,105,13:00,Tuesday,dufferin and confederation,Mechanical,30.0,60.0,s,8376.0,Dufferin St at Stayner Ave,40
2016-01-26 14:57,2016-01-26,36,14:57,Tuesday,fstn,Mechanical,10.0,20.0,W,9110.0,Front St East at Parliament St,30
2016-01-26 16:01,2016-01-26,36,16:01,Tuesday,fstn,Mechanical,5.0,10.0,W,9122.0,Front St East at Parliament St,30
2016-01-27 13:00,2016-01-27,85,13:00,Wednesday,don mills station to rouge hill go,General Delay,10.0,19.0,W,,Lawrence Ave East at East Ave - Rouge Hill GO Station,60
2016-01-27 14:33,2016-01-27,36,14:33,Wednesday,fstn,Mechanical,5.0,10.0,W,9131.0,Front St East at Parliament St,30
2016-01-27 14:53,2016-01-27,6,14:53,Wednesday,yorkville and yonge,Mechanical,10.0,20.0,S/B,1243.0,Yonge St at Irwin Ave,60
2016-01-27 14:57,2016-01-27,36,14:57,Wednesday,fstn,Late Leaving Garage,10.0,20.0,W,9118.0,Front St East at Parliament St,30
2016-01-28 6:22,2016-01-28,95,6:22,Thursday,ellemere srt,Mechanical,7.0,14.0,W,1215.0,Ellesmere Rd at East Service Rd,60
2016-01-28 6:23,2016-01-28,29,6:23,Thursday,tycos and dufferin,Mechanical,4.0,8.0,S,9023.0,Dufferin St at Tycos Dr,60
2016-01-28 7:06,2016-01-28,44,7:06,Thursday,queensway garage,Late Leaving Garage,4.0,8.0,s/b,8016.0,Queensway Loop at Lower Spadina Ave,60
2016-01-28 14:44,2016-01-28,95,14:44,Thursday,u of t loop,Mechanical,15.0,30.0,W,1401.0,University of Toronto Scarborough,60
2016-01-28 15:04,2016-01-28,109,15:04,Thursday,eglinton west,General Delay,24.0,48.0,NB,8185.0,Eglinton Ave West at Bathurst St,65
2016-01-28 16:00,2016-01-28,5,16:00,Thursday,bloor to st. clair,General Delay,15.0,32.0,N,,Bloor St West at St Clair Ave West,60
2016-01-28 16:00,2016-01-28,11,16:00,Thursday,eglinton to steeles,General Delay,15.0,27.0,N,,Eglinton Ave East at Steeles Ave East,60
2016-01-28 16:04,2016-01-28,32,16:04,Thursday,eglinton and wkwy w scarlett,Diversion,16.0,24.0,WB,1241.0,Eglinton Ave West at Scarlett Rd,50
2016-01-28 17:30,2016-01-28,39,17:30,Thursday,finch station to old finch,General Delay,16.0,22.0,wb,1792.0,Finch Ave West at Yonge St - Finch Station,45
2016-01-28 18:00,2016-01-28,65,18:00,Thursday,parliament route,General Delay,16.0,32.0,BW,,Parliament St at Carlton St,60
2016-01-29 6:07,2016-01-29,29,6:07,Friday,tycos and dufferin,Mechanical,4.0,8.0,S,9007.0,Dufferin St at Tycos Dr,60
2016-01-29 11:23,2016-01-29,40,11:23,Friday,dundas at annette,Mechanical,10.0,20.0,E,7344.0,Jane St at Annette St,45
2016-01-29 14:31,2016-01-29,62,14:31,Friday,mortimer / pape,Investigation,17.0,34.0,EB,7778.0,Pape Ave at O'Connor Dr North Side,50
2016-01-29 14:36,2016-01-29,196,14:36,Friday,allan rd / sheppard,Mechanical,3.0,6.0,s,8148.0,Sheppard Ave East at Allanford Rd West Side,50
2016-01-29 18:50,2016-01-29,192,18:50,Friday,kipling/stn,Late Leaving Garage,9.0,18.0,N/B,8007.0,Kipling Ave at Bloor St West North Side,50
2016-01-29 20:55,2016-01-29,196,20:55,Friday,dufferin & finch,Mechanical,7.0,14.0,N,8145.0,Finch Ave West at Dufferin St,50
