"bad_stop","confidence_1","stop_id_1","stop_name_1","confidence_2","stop_id_2","stop_name_2"
"york commons","86","11651","East York Town Centre","86","6991","Royal York Rd at Dixon Rd"
"main stn.","86","5006","Doncaster Ave at Main St West Side","86","5007","Doncaster Ave at Main St"
"york mills station","100","14806","York Mills Station","100","14806","York Mills Station"
"castle frank stn.","100","14641","Castle Frank Station","100","14641","Castle Frank Station"
"york u / commons","96","15666","York University Commons","96","15666","York University Commons"
"rustic & keele","86","4003","Keele St at Keelegate Dr","86","11689","Keele St at St Clair Ave West"
"don mills station","100","14623","Don Mills Station","100","14623","Don Mills Station"
"peter kaiser and steeles","86","9720","Birchmount Rd at Steeles Ave South Side","86","9807","McCowan Rd at Steeles Ave East North Side"
"victoria park stn","100","14786","Victoria Park Station","100","14786","Victoria Park Station"
"valley woods rd. & york mills rd.","95","11527","Valley Woods Rd at York Mills Rd","95","9088","York Mills Rd at Valley Woods Rd East Side"
"pape station","100","15150","Pape Station","90","13746","Pape Station - Eastbound Platform"
"eglinton stn","100","14667","Eglinton Station","100","14667","Eglinton Station"
"humberwood loop","86","13366","Exhibition Loop at Manitoba Dr","86","6530","Rouge Hill GO Station Loop"
"keele & rogers","86","4003","Keele St at Keelegate Dr","86","11689","Keele St at St Clair Ave West"
"warden ave and eglinton ave e","90","8557","Warden Ave at Eglinton Ave East","90","8557","Warden Ave at Eglinton Ave East"
"york mills/leslie","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"victoria park station","100","14786","Victoria Park Station","100","14786","Victoria Park Station"
"fstn","79","3539","Eglinton Ave East at Kennedy Station","79","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"bayview and york mills","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"freshmeadow dr and donmills rd","93","2646","Freshmeadow Dr at Don Mills Rd","93","2646","Freshmeadow Dr at Don Mills Rd"
"downsview stn","86","3539","Eglinton Ave East at Kennedy Station","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"bathurst/st. clair","86","1871","Davisville Ave at Cleveland St","86","5006","Doncaster Ave at Main St West Side"
"weston and albion","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"avon loop","90","13423","Avon Loop at Weston Rd","86","13366","Exhibition Loop at Manitoba Dr"
"keele and sheppard","86","11689","Keele St at St Clair Ave West","86","11689","Keele St at St Clair Ave West"
"hwy 27 and humber college blvd","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","7957","Westhumber Blvd at Martin Grove Rd North Side"
"east/lawerence","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"kennedy stn.","90","3539","Eglinton Ave East at Kennedy Station","90","14708","Kennedy Station - Platform A"
"downsview station","86","3539","Eglinton Ave East at Kennedy Station","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"lawrence w stn","92","12202","Lawrence West Station","92","12202","Lawrence West Station"
"keele stn","100","14704","Keele Station","100","14704","Keele Station"
"wellesley stn","100","14797","Wellesley Station","100","14797","Wellesley Station"
"davisville stn","100","14646","Davisville Station","100","14646","Davisville Station"
"nightstar & morningside","86","10947","Morningside Ave at Casebridge Crt North Side","86","11249","Morningside Ave at John Stoner Dr South Side"
"nighstar & morningside","86","11415","Military Trail at Morningside Ave","86","10947","Morningside Ave at Casebridge Crt North Side"
"ellesmere & miltary","86","9622","Ellesmere Rd at East Service Rd","86","9622","Ellesmere Rd at East Service Rd"
"ellesmee @ military trail","86","13325","Morningview Trail at Old Finch Ave South Side","86","4835","Brimley Rd at Walkway to Goldhawk Trail"
"ellesmere and military trail","87","7700","Ellesmere Rd at Military Trail (West)","87","9473","Ellesmere Rd at Military Trail (East)"
"warden stn.","100","16636","Warden Station","100","16636","Warden Station"
"york mills @ upjohn","95","9086","York Mills Rd at Upjohn Rd","86","14258","Don Mills Rd at Eglinton Ave East"
"eglinton station","100","14667","Eglinton Station","100","14667","Eglinton Station"
"dundas at humberside","86","1871","Davisville Ave at Cleveland St","86","3479","Disco Rd at Carlingview Dr East Side"
"weston rd / eglinton west ave","95","9383","Eglinton Ave West at Weston Rd","95","9383","Eglinton Ave West at Weston Rd"
"eastmall at rathburn","86","1871","Davisville Ave at Cleveland St","86","3479","Disco Rd at Carlingview Dr East Side"
"lawrence west stn","100","12202","Lawrence West Station","100","12202","Lawrence West Station"
"malvern gates","86","9597","McLevin Ave at Malvern St West Side","86","9701","Gerrard St East at Malvern Ave"
"375 danforth rd","100","1843","375 Danforth Rd","93","1841","347 Danforth Rd"
"kennedy stn","90","3539","Eglinton Ave East at Kennedy Station","90","14708","Kennedy Station - Platform A"
"bayview and finch ave east","89","9127","Finch Ave East at Bayview Ave","89","9127","Finch Ave East at Bayview Ave"
"scarb town ctr stn","86","3539","Eglinton Ave East at Kennedy Station","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"sheppard @ brenyon way","95","9851","Brenyon Way at Sheppard Ave East","86","10870","Sewells Rd at Brenyon Way East Side"
"kennedy - ellesmere","95","7692","Ellesmere Rd at Kennedy Rd","95","4079","Kennedy Rd at Ellesmere Rd"
"markham and dynamic","86","2288","Eglinton Ave East at Markham Rd West Side","86","11364","Progress Ave at Markham Rd East Side"
"bathurst & finch","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"weston & habitant","95","8729","Weston Rd at Habitant Dr","95","8729","Weston Rd at Habitant Dr"
"pharmacy - brian","86","6368","Ellesmere Rd at Pharmacy Ave","86","6698","Pharmacy Ave at Ellesmere Rd"
"finch station","100","14683","Finch Station","100","14683","Finch Station"
"yorkmills stn","97","14806","York Mills Station","97","14806","York Mills Station"
"donmills and finch ave east","88","1932","Don Mills Rd at Finch Ave East","88","1932","Don Mills Rd at Finch Ave East"
"wilson station","100","14799","Wilson Station","100","14799","Wilson Station"
"jane  and church","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","9942","Dundas St West at Jane St East Side"
"finch and arrow","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"warden station","100","16636","Warden Station","100","16636","Warden Station"
"main station","86","5006","Doncaster Ave at Main St West Side","86","5007","Doncaster Ave at Main St"
"woodbine station","100","14804","Woodbine Station","100","14804","Woodbine Station"
"christie station","100","776","Christie Station","90","13761","Christie Station - Eastbound Platform"
"malvern garage","86","851","Lake Shore Garage Loop","86","9597","McLevin Ave at Malvern St West Side"
"signet and steeles","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"carlaw and commissioner","86","4853","Carlaw Ave at Commissioners St North Side","86","4851","235 Carlaw Ave"
"jane and steeles","86","1974","Don Mills Rd at Steeles Ave East","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"east liberty","90","14536","Strachan Ave at East Liberty St","90","14537","East Liberty St at Pirandello St West Side"
"dynamic","90","11564","Dynamic Dr at Turbina Ave","90","11565","80 Dynamic Dr"
"sherway grdns","86","3117","Sherway Gardens Rd at Sherway Gate (Mall)","86","9108","Sherway Gardens Rd at Sherway Gate Mall West Side"
"bathurst/neptune","86","134","Bathurst St at Elm Ridge Dr","86","143","Bathurst St at Glencairn Ave"
"ossington station","100","14743","Ossington Station","100","14743","Ossington Station"
"berry and parklawn","86","13426","Prince Edward Dr South at Berry Rd","86","13375","Berry Rd at Cloverhill Rd East Side"
"royal york stn","100","14751","Royal York Station","100","14751","Royal York Station"
"runnymede loop","90","4450","Runnymede Loop at Dundas St West","86","4455","Dundas St West at Runnymede Rd West Side"
"pape","90","1419","O'Connor Dr at Pape Ave","90","3003","Pape Ave at Rivercourt Blvd"
"scat town centre station","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","3539","Eglinton Ave East at Kennedy Station"
"finch at leslie","86","662","Danforth Rd at Kennedy Rd","86","929","Davenport Rd at Bedford Rd"
"finch and weston","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"markham and paasmore","86","2288","Eglinton Ave East at Markham Rd West Side","86","11364","Progress Ave at Markham Rd East Side"
"eglinton and lascelles","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"morningside- nightstar","86","11415","Military Trail at Morningside Ave","86","10947","Morningside Ave at Casebridge Crt North Side"
"lawrence rt","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"papae stn","96","15150","Pape Station","86","3539","Eglinton Ave East at Kennedy Station"
"steeles and jane","86","1974","Don Mills Rd at Steeles Ave East","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"midland and steeles","86","1974","Don Mills Rd at Steeles Ave East","86","1036","Eglinton Ave East at Midland Ave West Side"
"mofi","68","5853","151 Norfinch Dr","68","5855","250 Norfinch Dr"
"albion and claireport","86","3273","Albion Rd at Humberline Dr East Side","86","3284","1919 Albion Rd"
"avenue rd & dupont.","95","62","Avenue Rd at Dupont St","95","62","Avenue Rd at Dupont St"
"91a woodbine - parkview hills","86","11504","Highway 27 at Queen's Plate Dr - Woodbine Centre","86","11505","Highway 27 at Queen's Plate Dr South Side - Woodbine Centre"
"esplanade / jarvis","86","6375","The Esplanade at Lower Jarvis St East Side","86","11166","The Esplanade at Princess St"
"don mills/wynford drive","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"eglinton - bellamy s","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"cherry / commissioners","86","13536","Wheeltrans Exit at Commissioners St","86","4853","Carlaw Ave at Commissioners St North Side"
"bathurst stn","100","14617","Bathurst Station","100","14617","Bathurst Station"
"morningside @ finch","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"don mills stn","100","14623","Don Mills Station","100","14623","Don Mills Station"
"terminal 3","90","14278","Pearson Airport Terminal 3 - Arrivals Level Columns C8-C12","86","14061","Westwood Square Bus Terminal at Morning Star Dr"
"don mills/sheppard","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"pharmacy and hollydene","86","6756","Pharmacy Ave at Sundridge Dr North Side","86","6728","Pharmacy Ave at Eglinton Sq - East Entrance"
"lawrence station exit","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","3539","Eglinton Ave East at Kennedy Station"
"finch ave east & middlefield ave","95","2532","Finch Ave East at Middlefield Rd","95","2532","Finch Ave East at Middlefield Rd"
"york u commons","100","15666","York University Commons","100","15666","York University Commons"
"lawrence and warden","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"eglinton garage","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"eglinton west stn","100","14676","Eglinton West Station","100","14676","Eglinton West Station"
"upper canada dr and fairmeadow","89","8393","Upper Canada Dr at Fairmeadow Ave","89","8393","Upper Canada Dr at Fairmeadow Ave"
"sheppard stn","95","14651","Sheppard West Station","95","14651","Sheppard West Station"
"matheson and eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"neilson and finch","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"montressor dr.","90","7983","Montressor Dr at Troon Crt North Side","90","8371","Toba Dr at Montressor Dr"
"ellesmere and meadowvale","87","10523","Ellesmere Rd at Meadowvale Rd","87","6565","Meadowvale Rd at Ellesmere Rd"
"st clair stn","100","14778","St Clair Station","100","14778","St Clair Station"
"necr","74","1367","125 Milner Ave","74","6552","Marlee Ave at Stayner Ave"
"morningside and sewells","86","10870","Sewells Rd at Brenyon Way East Side","86","10947","Morningside Ave at Casebridge Crt North Side"
"bloor and riverside","86","9856","Dundas St West at Bloor St West","86","526","Bloor St West at Islington Ave West Side"
"runnymede station","100","14755","Runnymede Station","100","14755","Runnymede Station"
"steeles and yonge loop","86","9898","Eglinton Ave West at Yonge St West Side","86","9912","Finch Ave East at Yonge St East Side"
"meadowvale loop","90","9343","Meadowvale Loop at Sheppard Ave East","86","13366","Exhibition Loop at Manitoba Dr"
"yonge and finch","86","9897","Eglinton Ave West at Yonge St","86","9898","Eglinton Ave West at Yonge St West Side"
"carrier and humbercollege blvd.","89","14568","Carrier Dr at Humber College Blvd","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"kennedy station","90","3539","Eglinton Ave East at Kennedy Station","90","14708","Kennedy Station - Platform A"
"staines & steeles","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"carrier loop","86","13366","Exhibition Loop at Manitoba Dr","86","6530","Rouge Hill GO Station Loop"
"bombay loop","90","14189","Bombay Loop at Avenue Rd","86","13366","Exhibition Loop at Manitoba Dr"
"nan","N/A","N/A","N/A","N/A","N/A","N/A"
"dynamic/mcnicol","86","11564","Dynamic Dr at Turbina Ave","86","13872","Dynamic Dr at Passmore Ave"
"steeles and martin grove loop","88","9824","Steeles Ave West Loop at Martin Grove Rd","86","12584","Exhibition Loop"
"bloor and shaw","86","9856","Dundas St West at Bloor St West","86","526","Bloor St West at Islington Ave West Side"
"scarborough center station","96","14758","Scarborough Centre Station","96","14758","Scarborough Centre Station"
"ston","90","9383","Eglinton Ave West at Weston Rd","90","9383","Eglinton Ave West at Weston Rd"
"all locations","62","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station","62","9999","McCowan Rd at Bullock Dr - Centennial GO Station"
"caladonia and glen carairn","86","4227","Kingston Rd at Glen Everest Rd East Side","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"wellesley station","100","14797","Wellesley Station","100","14797","Wellesley Station"
"ossington and college","86","12196","Humber College Blvd at Humberline Dr South Side","86","7861","Humber College Blvd at Humberline Dr"
"eglinton stn.","100","14667","Eglinton Station","100","14667","Eglinton Station"
"davisville station","100","14646","Davisville Station","100","14646","Davisville Station"
"eg. west station","86","5006","Doncaster Ave at Main St West Side","86","9856","Dundas St West at Bloor St West"
"south leaside route","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","11181","Eastern Ave at Queen St East South Side"
"finch & mccowan","86","9604","Ellesmere Rd at McCowan Rd East Side","86","9910","Finch Ave East at Finchdene Sq West Side"
"bellamy and pandora","86","361","Bellamy Rd North at Lawrence Ave East","86","352","Bellamy Rd North at Eglinton Ave East North Side - Eglinton GO Station"
"mccowan & steeles","86","1974","Don Mills Rd at Steeles Ave East","86","9604","Ellesmere Rd at McCowan Rd East Side"
"dufferin and queen","86","9991","Dufferin St at Springhurst Ave","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"kingston loop","86","13366","Exhibition Loop at Manitoba Dr","86","6530","Rouge Hill GO Station Loop"
"jane station.","100","14700","Jane Station","100","14700","Jane Station"
"eglinton and montcalm","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"queens quay and sherbourne","86","11516","Maple Leaf Dr at Roadway to 290-300 Queens Dr Apartments","86","13131","Queens Quay West at Lower Spadina Ave East Side"
"eglinton \ bathurst","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"eglinton and municipal drive","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","2240","Eglinton Ave East at Bayview Ave East Side"
"duff & hope st","86","940","Davenport Rd at Dupont St","86","1871","Davisville Ave at Cleveland St"
"caledonia and innes av.","86","11579","St Clair Ave West at Caledonia Rd East Side","86","11715","St Clair Ave West at Caledonia Rd"
"kennedy south of ellesmere","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","11181","Eastern Ave at Queen St East South Side"
"weston and dennis","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"w/b dundas at billingham","86","3479","Disco Rd at Carlingview Dr East Side","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"islington at dixon rd","95","3777","Islington Ave at Dixon Rd","95","4988","Dixon Rd at Islington Ave"
"w/b davenport and symington","86","932","Davenport Rd at Caledonia Park Rd East Side","86","4648","Symington Ave at Bloor St West North Side"
"keele and rogers","86","4003","Keele St at Keelegate Dr","86","11689","Keele St at St Clair Ave West"
"martingrove steeles loop","86","9720","Birchmount Rd at Steeles Ave South Side","86","12584","Exhibition Loop"
"jane station","100","14700","Jane Station","100","14700","Jane Station"
"oakwood and earlscourt","86","7948","Earlscourt Loop at St Clair Ave West","86","5904","Oakwood Ave at Eglinton Ave West South Side"
"birchmount rd & finch ave east","95","1740","Birchmount Rd at Finch Ave East","95","2491","Finch Ave East at Birchmount Rd"
"pine and lawrence","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"don mills and vanhorn","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"eglinton and laird","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"concord place","86","3794","Islington Ave at Fletcher Place","86","4470","Markham Rd at Orchid Place Dr"
"broadview station","100","14635","Broadview Station","100","14635","Broadview Station"
"broadview stn","100","14635","Broadview Station","100","14635","Broadview Station"
"eglinton yard","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"barkdene","90","3377","Brooklawn Ave at Barkdene Hills","90","3306","Barkdene Hills at Gradwell Dr"
"donmills station","97","14623","Don Mills Station","97","14623","Don Mills Station"
"dufferin and bloor","86","9991","Dufferin St at Springhurst Ave","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"tapscott and crow trail","88","11557","Tapscott Rd at Crow Trail","88","11557","Tapscott Rd at Crow Trail"
"vanhorne and brian","86","7161","Sheppard Ave East at Brian Dr West Side","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"arrow rd.","90","6059","Sheppard Ave West at Arrow Rd West Side","90","12926","700 Arrow Rd"
"passmore and markham","86","2288","Eglinton Ave East at Markham Rd West Side","86","11364","Progress Ave at Markham Rd East Side"
"cactus and goulding","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","8262","Steeles Ave West at Cactus Ave"
"steeles and bathurst","86","1974","Don Mills Rd at Steeles Ave East","86","204","Bathurst St at St Clair Ave West"
"avenue rd & lawrence","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"caledonia & glencairn","95","718","Caledonia Rd at Glencairn Ave","95","718","Caledonia Rd at Glencairn Ave"
"kipling station","100","14716","Kipling Station","100","14716","Kipling Station"
"coxwell danforth","86","662","Danforth Rd at Kennedy Rd","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital"
"wilson stn.","100","14799","Wilson Station","100","14799","Wilson Station"
"danforth/eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"garage","90","851","Lake Shore Garage Loop","90","1840","400 Danforth Rd (Birchmount Garage)"
"jnst","68","5007","Doncaster Ave at Main St","68","5007","Doncaster Ave at Main St"
"warden stn","100","16636","Warden Station","100","16636","Warden Station"
"evans ave and islington ave","94","9399","Evans Ave at Islington Ave","94","9399","Evans Ave at Islington Ave"
"ossington  ave / queen st","95","6847","Queen St West at Ossington Ave","95","6847","Queen St West at Ossington Ave"
"lansdowne ave / rideau","95","5220","Lansdowne Ave at Rideau Ave","86","14258","Don Mills Rd at Eglinton Ave East"
"bathurst and wilson","86","204","Bathurst St at St Clair Ave West","86","9719","Bathurst St at Steeles Ave West"
"oakwood / st.clair","86","1871","Davisville Ave at Cleveland St","86","5006","Doncaster Ave at Main St West Side"
"runnymede stn","100","14755","Runnymede Station","100","14755","Runnymede Station"
"scarborough town center","86","11096","Scarborough Golf Club Rd at Brimorton Dr","86","6115","St Clair Ave East at Linden Ave - Scarborough GO Station"
"blackcreek /eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"coxwell / mortimer","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital","86","5773","Mortimer Ave at Coxwell Ave West Side - Michael Garron Hospital"
"go loop","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"dundas west stnq","97","14662","Dundas West Station","97","14662","Dundas West Station"
"finch & baldoon","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"lawrence stn","95","12202","Lawrence West Station","95","12202","Lawrence West Station"
"york university commons","100","15666","York University Commons","100","15666","York University Commons"
"finch stn.","100","14683","Finch Station","100","14683","Finch Station"
"dufferin mall","100","11630","Dufferin Mall","86","979","Dufferin St at Yorkdale Rd"
"st. clair w. stn","95","14778","St Clair Station","95","14778","St Clair Station"
"scarborough centre station","100","14758","Scarborough Centre Station","100","14758","Scarborough Centre Station"
"york mills stn","100","14806","York Mills Station","100","14806","York Mills Station"
"birchmount garage","90","1840","400 Danforth Rd (Birchmount Garage)","86","1740","Birchmount Rd at Finch Ave East"
"village gate and greenwin village","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2032","Dufferin Gate Loop"
"long branch loop","100","4435","Long Branch Loop","100","4435","Long Branch Loop"
"princessgate","75","14363","Princes' Gates Loop at Canada Blvd - CNE East Entrance","70","11166","The Esplanade at Princess St"
"scarborough town centre","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","11640","Wagman Centre"
"warden loop","90","13462","Warden Loop at Steeles Ave East","86","13366","Exhibition Loop at Manitoba Dr"
"ellesmere rt stn","86","3539","Eglinton Ave East at Kennedy Station","86","9622","Ellesmere Rd at East Service Rd"
"ellesemere rt stn","86","3539","Eglinton Ave East at Kennedy Station","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"vicpark","64","6372","Ellesmere Rd at Victoria Park Ave","64","13918","Sheppard Ave East at Victoria Park Ave East Side"
"danesbury & glencairn","95","3648","Glencairn Ave at Danesbury Ave","95","3648","Glencairn Ave at Danesbury Ave"
"bloor and sherbourne","86","9856","Dundas St West at Bloor St West","86","526","Bloor St West at Islington Ave West Side"
"lawrence scarbough golf club rd","86","10755","Keele St at Toro Rd","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"steeles loop at kipling","86","3479","Disco Rd at Carlingview Dr East Side","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"nugget and markham rd","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"trethewey","90","3878","Jane St at Trethewey Dr","90","3878","Jane St at Trethewey Dr"
"rish","90","10516","Ellesmere Rd at Morrish Rd","90","11383","Morrish Rd at Grantown Ave"
"weston rd / st.clair west","95","11583","Old Weston Rd at St Clair Ave West","95","11583","Old Weston Rd at St Clair Ave West"
"wilson garage","86","9154","Keele St at Wilson Ave North Side","86","14141","Wilson Ave at Keele St North Side"
"jste","68","1974","Don Mills Rd at Steeles Ave East","68","5007","Doncaster Ave at Main St"
"finch stn","100","14683","Finch Station","100","14683","Finch Station"
"victoria park / eglinton","95","8455","Victoria Park Ave at Eglinton Sq","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"arrow garage","86","6059","Sheppard Ave West at Arrow Rd West Side","86","7498","Arrow Rd at Finch Ave West South Side"
"star spray loop","86","13366","Exhibition Loop at Manitoba Dr","86","6530","Rouge Hill GO Station Loop"
"on jarvis from carlton to gerrard","86","1371","Neilson Rd at Opp Walkway to Blackwater Cres & Kessack Crt","86","8256","Steeles Ave East at Opposite Walkway to Whitman St"
"centenial college","86","12196","Humber College Blvd at Humberline Dr South Side","86","7861","Humber College Blvd at Humberline Dr"
"warden ellesmere","86","10904","Ellesmere Rd at Mirrow Crt","86","9622","Ellesmere Rd at East Service Rd"
"warden sheppard","86","7172","Sheppard Ave East at Commons Dr","86","7172","Sheppard Ave East at Commons Dr"
"york mills rd and banbury rd","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
