bad_name, good_name, confidence
carlaw and commissioner, Carlaw Ave at Commissioners St, 100
jane and steeles, Jane St at Steeles Ave West, 100
finch at leslie, Finch Ave East at Leslie St - Old Cummer GO Station, 80
finch and weston, Finch Ave West at Weston Rd, 90
markham and paasmore, Markham Rd at Passmore Ave, 90
eglinton and lascelles, Eglinton Ave West at Lascelles Blvd, 90
morningside- nightstar, Morningside Ave at Nightstar Rd, 90
lawrence rt, Lawrence Ave East at Railside Rd (East), 70
papae station, Pape Ave at Rivercourt Blvd, 50
steeles and jane, Steeles Ave West at Jane St, 90
midland and steeles, Midland Ave at Steeles Ave East, 90
mofi, NONE, 0
albion and claireport, Albion Rd at Claireport Cres (East), 90
avenue rd & dupont., Avenue Rd at Dupont St, 100
91a woodbine - parkview hills, NONE, NONE
esplanade / jarvis, The Esplanade at Lower Jarvis St East Side, 100
don mills/wynford drive, Don Mills Rd at Wynford Dr, 90
eglinton - bellamy s, Bellamy Rd North at Eglinton Ave East - Eglinton GO Station, 70
cherry / commissioners, Carlaw Ave at Commissioners St North Side, 60
bathurst station, Bathurst Station, 100
morningside @ finch, Morningside Ave at Finch Ave East, 90
don mills station, Don Mills Station, 100
terminal 3, Pearson Airport Terminal 3 - Arrivals Level Columns C8-C12, 70
don mills/sheppard, Don Mills Rd at Sheppard Ave East, 75
pharmacy and hollydene, Pharmacy Ave at Hollydene Rd, 85
lawrence station exit, Lawrence Ave at Yonge St - Lawrence Station, 90
finch ave east & middlefield ave, Finch Ave East at Middlefield Rd, 95
york u commons, York University Commons, 100
lawrence and warden, Lawrence Ave East at Warden Ave, 95
eglinton garage, NONE, 50
eglinton west station, Eglinton West Station, 100
upper canada dr and fairmeadow, Upper Canada Dr at Fairmeadow Ave, 90
sheppard station, Sheppard-Yonge Station, 70
matheson and eglinton, NONE, 0
neilson and finch, Neilson Rd at Finch Ave East, 90
montressor dr., Montressor Dr at Troon Crt, 80
ellesmere and meadowvale, Ellesmere Rd at Meadowvale Rd, 90
st clair station, St Clair Station, 100
necr, NONE, 0
morningside and sewells, Morningside Ave at Sewells Rd, 90
bloor and riverside, NONE, 0
runnymede station, Runnymede Station, 100
steeles and yonge loop, NONE, NONE
meadowvale loop, Meadowvale Loop at Sheppard Ave East, 100
yonge and finch, Yonge St at Finch Ave West - Finch Station, 90
carrier and humbercollege blvd., Humber College Blvd at Carrier Dr, 80
kennedy station, Eglinton Ave East at Kennedy Station, 90
staines & steeles, Steeles Ave East at Staines Rd, 80
carrier loop, NONE, NONE
bombay loop, Bombay Loop at Avenue Rd, 100
"", NONE, NONE
dynamic/mcnicol, NONE, NONE
steeles and martin grove loop, Steeles Ave West at Martin Grove Rd, 80
bloor and shaw, Bloor St West at Shaw St, 80
scarborough center station, Scarborough Centre Station, 100
ston, NONE, 0
all locations, NONE, 0
caladonia and glen carairn, Caledonia Rd at Glencairn Ave, 70
wellesley station, Wellesley Station, 100
ossington and college, College St at Ossington Ave, 90
eglinton station, Eglinton Station, 100
davisville station, Davisville Station, 100
eglinton \ bathurst, Bathurst St at Eglinton Ave West, 90
eglinton and municipal drive, Eglinton Ave West at Municipal Dr - York Civic Centre, 90
duff & hope st, Dufferin St at Hope St, 90
caledonia and innes av., Caledonia Rd at Innes Ave, 90
kennedy south of ellesmere, Kennedy Rd at Ellesmere Rd South Side, 90
weston and dennis, Weston Rd at Dennis Ave, 90
w/b dundas at billingham, NONE, 40
islington at dixon rd, Islington Ave at Dixon Rd, 90
w/b davenport and symington, Davenport Rd at Symington Ave, 80
keele and rogers, Keele St at Rogers Rd, 90
martingrove steeles loop, NONE, NONE
jane station, Jane Station, 100
oakwood and earlscourt, Earlscourt Loop at St Clair Ave West, 60
birchmount rd & finch ave east, Birchmount Rd at Finch Ave East, 90
pine and lawrence, Pine St at Lawrence Ave West, 80
don mills and vanhorn, Don Mills Rd at Van Horne Ave, 90
eglinton and laird, Eglinton Ave East at Laird Dr, 100
concord place, Concorde Pl at McDonald's Pl, 80
broadview station, Broadview Station, 100
broadview station, Broadview Station, 100
eglinton yard, NONE, 0
barkdene, Barkdene Hills, 60
donmills station, Don Mills Station, 90
dufferin and bloor, Dufferin St at Bloor St West - Dufferin Station, 90
tapscott and crow trail, Tapscott Rd at Crow Trail, 90
vanhorne and brian, Van Horne Ave at Brian Ave, 60
arrow rd., 700 Arrow Rd, 60
passmore and markham, Markham Rd at Passmore Ave, 90
cactus and goulding, Cactus Ave at Goulding Ave, 90
steeles and bathurst, Steeles Ave West at Bathurst St, 90
avenue rd at lawrence ave west, Avenue Rd at Lawrence Ave West, 90
caledonia rd at glencairn ave, Caledonia Rd at Glencairn Ave, 90
Kipling Stn, Kipling Station, 100
coxwell danforth, Danforth Ave at Coxwell Ave, 80
Wilson Street Station, Wilson Station, 100
Danforth Rd at Eglinton Ave East, NONE, 50
NONE, NONE, 0
Jane Stn, Jane Station, 100
Warden Stn, Warden Station, 100
evans ave at islington ave, Evans Ave at Islington Ave, 100
ossington  ave / queen st, Queen St West at Ossington Ave, 90
lansdowne ave / rideau, Lansdowne Ave at Rideau Ave, 95
bathurst and wilson, Bathurst St at Wilson Ave West Side, 90
oakwood / st.clair, Oakwood Ave at St Clair Ave West, 90
runnymede station, Runnymede Station, 100
scarborough town center, Scarborough Centre Station, 100
blackcreek /eglinton, Eglinton Ave West at Black Creek Dr, 90
coxwell / mortimer, Mortimer Ave at Coxwell Ave - Michael Garron Hospital, 90
go loop, NONE, 0
dundas west stationq, Dundas West Station, 100
finch & baldoon, Finch Ave East at Baldoon Rd, 85
lawrence station, Lawrence Ave at Yonge St - Lawrence Station, 100
york university commons, York University Commons, 100
finch station, Finch Station, 100
dufferin mall, Dufferin Mall, 100
st. clair w. station, St Clair Ave West at Yonge St West Side, 70
scarborough centre station, Scarborough Centre Station, 100
york mills station, Yonge St at York Mills Rd North Side - York Mills Station, 90
birchmount garage, 400 Danforth Rd (Birchmount Garage), 80
village gate and greenwin village, Village Gate at Steeles Ave West, 70
0, NONE, NONE
long branch loop, Long Branch Loop, 100
princessgate, NONE, NONE
scarborough town centre, Scarborough Town Centre, 100
warden loop, NONE, NONE
ellesmere rt station, NONE, NONE
ellesemere rt station, NONE, NONE
vicpark, Victoria Park Ave at Danforth Ave, 40
danesbury & glencairn, Glencairn Ave at Danesbury Ave, 70
bloor and sherbourne, Bloor St East at Sherbourne St, 80
lawrence scarbough golf club rd, Lawrence Ave East at Scarborough Golf Club Rd, 70
steeles loop at kipling, Steeles Ave West at Kipling Ave Loop, 70
nugget and markham rd, Nugget Ave at Markham Rd, 90
trethewey, Trethewey Dr at Jane St, 80
rish, NONE, 40
weston rd / st.clair west, Weston Rd at St Clair Ave West South Side, 75
wilson garage, NONE, 40
Jane St at East Dr, Jane St at East Dr, 100
finch station, Finch Station, 90
victoria park / eglinton, Victoria Park Ave at Eglinton Ave East, 80
arrow garage,NONE, 40
star spray loop, Starspray Loop at Lawrence Ave East, 100
on jarvis from carlton to gerrard, NONE, NONE
centenial college, Centennial College Bus Terminal, 80
warden ellesmere, Warden Ave at Ellesmere Rd, 100
warden sheppard, Warden Ave at Sheppard Ave East, 100
york mills rd and banbury rd, York Mills Rd at Banbury Rd (East), 100
fleet/fort york blvd, Fleet St at Fort York Blvd, 85
neilson & crow trail, Neilson Rd at Crow Trail, 90
bathurst and fisherville, Bathurst St at Fisherville Rd, 100
bathurst and finch, Bathurst St at Finch Ave West, 90
prince edward/faimar, Prince Edward Dr South at Fairmar Ave, 90
finch & brimley, Finch Ave East at Brimley Rd, 100
st clair and old weston rd., Old Weston Rd at St Clair Ave West, 90
ormont and weston, Weston Rd at Ormont Dr, 100
weston rd @ finch av., Weston Rd at Finch Ave West, 90
lawrence and duplex, Lawrence Ave West at Duplex Ave, 100
magnificent and horner, Judson St at Magnificent Rd, 90
mt dennis, St Dennis Dr at Linkwood Lane, 80
st.clair station, St Clair Station, 100
bayview and steeles, Bayview Ave at Steeles Ave East, 90
finch av. and weston rd, Finch Ave West at Weston Rd, 100
mount dennis garage, Mount Dennis Garage, 100
neil mcneil school, Michael Power / St Joseph H.S., 60
royal york/bloor, Royal York Rd at Bloor St West, 100
michael powers school., Michael Power / St Joseph H.S., 100
garage - markland and bloor, NONE, NONE
basl, St Basil The Great College School, 90
caledonia, Caledonia Rd at Cartwright Ave, 90
kennedy-passmore, Kennedy Rd at Passmore Ave North Side, 90
east york cllegiate, East York Town Centre, 50
lawrance rt station, Lawrence Station, 90
jane/york gate blvd., York Gate Blvd at Jane St, 80
jane/york gate, York Gate Blvd at Jane St, 90
jane and driftwood to grandravine drive, Jane St at Grandravine Dr, 70
fenside dr.  and versend dr., NONE, 20
concorde place, Concorde Pl at McDonald's Pl, 90
neilson and sheppard, Sheppard Ave East at Neilson Rd, 80
rathburn and birchcroff, Rathburn Rd at Birchcroft Rd, 90
kipling and albion, Kipling Ave at Albion Rd, 90
townsley loop, Townsley Loop at Townsley St, 90
driftwood and finch, Finch Ave West at Driftwood Ave, 90
dufferin and finch, Finch Ave West at Dufferin St - Sheppard West Station, 80
queen, Queen Station, 90
mcnicoll av/hutchcroft av, McNicoll Ave at Hutchcroft Ave, 95
royal crest rd, Royalcrest Rd at Highway 27, 95
royal york and manitoba, NONE, NONE
wynford - eglinton, Eglinton Ave East at Wynford Dr, 85
finch ave at weston rd, Finch Ave West at Weston Rd, 95
bay and king, Bay St at King St West, 95
winter garden and port union, Port Union Rd at Winter Gardens Trail, 90
queenspalte and hwy 27, Highway 27 at Queen's Plate Dr - Woodbine Centre, 80
castle frank station, Castle Frank Station, 100
braodview station, Broadview Station, 95
Scarborough Town Center srt station, Scarborough Centre Station, 90
kipling and clement, Kipling Ave at Clement Rd, 90
col. sam smith loop, Colonel Samuel Smith Park Dr, 70
donmills station, Don Mills Station, 100
queensway and noirth queen, The Queensway at North Queen St, 85
steeles jane, Steeles Ave West at Jane St, 90
thorncliffe e and overlea, Thorncliffe Park Dr East at Overlea Blvd, 90
thorncliffe e. and overlea, Overlea Blvd at Thorncliffe Park Dr (East), 80
jane and wilson, Jane St at Wilson Ave, 90
bay and bloor, Bay St at Bloor St West - Bay Station, 90
lawrence west station, Lawrence Ave West at Weston Rd - Weston GO Station, 60
grand river bl, Sheppard Ave East at Grand River Blvd, 90
lawrence and jane, Lawrence Ave West at Jane St, 80
jane & lawrence, Jane St at Lawrence Ave West, 80
ossington & davenport, Ossington Ave at Davenport Rd, 90
ossington and davenport, Ossington Ave at Davenport Rd, 100
carlton & yonge, Carlton St at Yonge St - College Station, 100
yonge & steeles, Yonge St at Steeles Ave East, 80
wilson & bathurst, Wilson Ave at Bathurst St, 90
confederation and dufferin, NONE, NONE
finch and arrow (36d), Finch Ave West at Arrow Rd, 75
woodbine station, Woodbine Station, 90
martin grove and royalcrest, Martin Grove Rd at Royalcrest Rd, 90
lawrence and mt. pleasant, Lawrence Ave East at Mt Pleasant Rd, 80
littles and birell, Littles Rd at Birrell Ave, 90
kpsn, NONE, NONE
bathurst and steeles, Bathurst St at Steeles Ave West, 90
islington station, Islington Station, 100
carlingview & dixon, Carlingview Dr at Dixon Rd, 95
dufferin and tycos, Dufferin St at Tycos Dr, 90
pine & lawrence, Pine St at Lawrence Ave West, 90
mcnicoll and victoria park, McNicoll Ave at Victoria Park Ave, 100
lansdowne and bloor, Lansdowne Ave at Bloor St West, 100
steeles and edgarwoods, NONE, 0
steeles and waggoners well lane, Steeles Ave East at Waggoners Wells Lane, 90
wilson yard, NONE, 0
milvan and finch 36d, NONE, 0
kip station, Kipling Station, 100
mill loop, Humber Loop at The Queensway, 85
york mills and lesle, NONE, NONE
york mills at leslie, York Mills Rd at Leslie St, 90
york mills and lesile, NONE, NONE
steeles and leslie, Steeles Ave East at Leslie St, 100
lawrence greencrest, NONE, NONE
townsend/freshmedow to eglinton station, NONE, NONE
dufferin and rogers, Dufferin St at Rogers Rd, 90
st.clair station, St Clair Station, 100
humber express, NONE, 50
steeles and barmac, Steeles Ave West at Scholes Rd/Barmac Dr, 90
signal hill and steeles, Signal Hill Ave at Steeles Ave West, 90
old mill station, Old Mill Station, 100
finch station to maybrook, Maybrook Dr at McNicoll Ave North Side, 60
consilium and progress, Progress Ave at Consilium Pl, 70
eglinton w station, Eglinton West Station, 100
islington ave and birmingham ave, Islington Ave at Birmingham St, 100
mcnicoll/kennedy, McNicoll Ave at Kennedy Rd, 90
coxwell danforth ave, Coxwell Ave at Danforth Ave, 100
wilson and jane, Jane St at Wilson Ave, 70
sarr, NONE, NONE
eglington and kipling n/b, Eglinton Ave West at Kipling Ave, 60
queen st. and shaw, Queen St West at Shaw St, 90
finch and leslie, Finch Ave East at Leslie St, 80
earlscourt loop, Earlscourt Loop at St Clair Ave West, 100
duff and tycos, Dufferin St at Tycos Dr, 60
eglinton west / weston rd, Eglinton Ave West at Weston Rd, 90
york u, York University, 100
carpenter and steeles, Steeles Ave West at Carpenter Rd, 80
bathurst station, Bathurst Station, 100
yorkdale rd. north plaza, NONE, 60
yonge and yonge blvd., NONE, 50
lawrence station, Lawrence Station, 100
parkwoods village dr and brookbanks, Parkwoods Village Dr at Brookbanks Dr, 90
mccowan & finch, McCowan Rd at Finch Ave East, 80
eglinton brentcliffe, Eglinton Ave East at Brentcliffe Rd, 70
jane and driftwood drive, Driftwood Ave at Jane St, 70
eglington and kipling, Eglinton Ave West at Kipling Ave, 80
east liberty and atlantic, East Liberty St at Atlantic Ave, 90
dufferin and orfus, Orfus Rd at Dufferin St, 90
jane/st. clair, Jane St at St Clair Ave West, 90
dufferin and dupont, Dufferin St at Dupont St, 100
humberloop., Humber Loop at The Queensway, 95
martingrove/finch, Martin Grove Rd at Finch Ave West, 100
albion and weston, Albion Rd at Weston Rd, 100
lawrence wrst station, Lawrence Ave West at Weston Rd - Weston GO Station, 85
neil mcneil high school, 127 Victoria Park Ave - Neil McNeil Secondary School, 80
seneca college, Finch Ave East at Au Large Blvd - Seneca Polytechnic, 75
farr, NONE, 0
birchmont garage, NONE, 0
eglinton west station, Eglinton Ave West at Bathurst St, 60
morningside & ellesmere, Morningside Ave at Ellesmere Rd, 90
kipling belfield, Kipling Ave at Belfield Rd - Etobicoke North GO Station, 90
dundas west station, Dundas St West at Yonge St - Dundas Station, 90
queensquay and freeland, Queens Quay East at Freeland St, 90
princes gates, Princes' Gates Loop at Canada Blvd - CNE East Entrance, 90
morningside & lawrence, Morningside Ave at Lawrence Ave East, 90
u of t campus, University of Toronto Scarborough, 90
sentinel and lamberton, Sentinel Rd at Lamberton Blvd, 90
dufferin south of rutherford, NONE, 0
brimley & hungtingwood, Brimley Rd at Huntingwood Dr, 100
midland route, Midland Ave, 50
1792 birchmount road, 1792 Birchmount Rd, 100
bayview & yorkmills, Bayview Ave at York Mills Rd, 100
wingold, Wingold Ave, 70
progress and bellamy, Progress Ave at Bellamy Rd North, 100
victoria park / clydesdale, Victoria Park Ave at Clydesdale Dr, 100
royal york station at queensway, Royal York Rd at The Queensway, 80
village gate at greenwin village, Steeles Ave West at Village Gate, 60
wright avenue, Wright Ave, 100
leslie and finch, Leslie St at Finch Ave East, 95
pape route, Pape Ave, 90
egltinon west station, Eglinton West Station, 90
dawes route, Danforth Ave, 60
oakdale drive, Oakdale Rd, 100
lawrence/yonge, Lawrence Ave at Yonge St - Lawrence Station, 100
greenbrook and keele, Keele St at Greenbrook Dr South Side, 80
hwy #7 and mccowan rd., McCowan Rd at Highway 7, 95
bond/donmills station, NONE, 30
parklawn norht of lakeshore, Park Lawn Rd at Lake Shore Blvd West North Side, 80
tycos, Tycos Dr at Caledonia Rd, 90
dawes  and beth, Dawes Rd at Beth St, 90
mccowan and nugget, McCowan Rd at Nugget Ave, 100
finch and driftwood, Driftwood Ave at Finch Ave West, 100
shaw and king, Shaw St at King St West North Side, 90
at 3600 /finch ave., 3600 Steeles Ave West, 70
bur oak ave. /mccowan rd., McCowan Rd at Bur Oak Ave - Mount Joy GO Station, 80
cherry & commissioner, Carlaw Ave at Commissioners St North Side, 70
eglinton and east mall, Eglinton Ave West at The East Mall, 90
mccowan and finch, McCowan Rd at Finch Ave East, 95
sheppard and tuscan gate, Sheppard Ave West at Tuscan Gate, 100
loop - martin grove & steeles w, Steeles Ave West Loop at Martin Grove Rd, 90
birchmount rd./ finch, Birchmount Rd at Finch Ave East, 95
bayview av and yorkmills rd, Bayview Ave at York Mills Rd, 100
188 bonis, NONE, 0
jane & sheppard, Sheppard Ave West at Jane St, 95
victoriapark and steeles, Victoria Park Ave at Steeles Ave East, 100
finch ave. west & signet road, Finch Ave West at Signet Dr, 100
lansdowne and queen, Lansdowne Ave at Queen St West, 100
sheppard and morningside, Morningside Ave at Sheppard Ave East, 95
thorncliff park and overlea blvd., Thorncliffe Park Dr East at Overlea Blvd, 95
queen and macdonell, MacDonell Ave at Queen St West North Side, 95
thorncliff pk. and overlea blvd., Thorncliffe Park Dr East at Overlea Blvd, 95
cosumers rd and victoria park, Consumers Rd at Victoria Park Ave West Side, 90
main sation, Main Street Station, 90
cssl, NONE, 60
jane station, Jane Station, 100
morningside and finch, Morningside Ave at Finch Ave East, 95
morningside and coronation, Morningside Ave at Coronation Dr, 95
islington ave at albion rd, Islington Ave at Albion Rd, 100
eglinton west / royal york, Eglinton Ave West at Royal York Rd, 95
orton park lawrence, Lawrence Ave East at Orton Park Rd, 90
mountpleasant loop, NONE, 50
humberwood/humberline, Humberwood Blvd at Humberline Dr, 90
martin grove and albion, Martin Grove Rd at Albion Rd, 100
eglinton w. station, Eglinton West Station, 100
lawrence ave west station, Lawrence Ave West at Ralph St - Weston GO Station, 80
sheppard/oakdale, Sheppard Ave West at Oakdale Rd, 95
mccowan and sheppard, McCowan Rd at Sheppard Ave East, 100
weston and finch, Weston Rd at Finch Ave West, 90
the commons, Sheppard Ave East at Commons Dr, 100
eglinton and mccowan, Eglinton Ave East at McCowan Rd, 95
dufferin and glenshield, Dufferin St at Glencairn Ave, 80
avenue rd and elmwood blvd, Avenue Rd at Elmwood Ave, 100
kipling and rathburn, Kipling Ave at Rathburn Rd, 100
route 145 humber express, NONE, 10
avenue rd and yorkville, Avenue Rd at Yonge St, 60
broadview rte, Broadview Ave at Erindale Ave, 50
eastmall and dundas, Dundas St West at East Mall Cres, 90
on route, NONE, 0
finch station to morningside and staines, Finch Ave East at Morningside Ave, 70
st. clair ave and cotton ave., St Clair Ave East at Cotton Ave, 90
victoria park at lawrence ave, Victoria Park Ave at Lawrence Ave East, 90
dundas west station, Dundas West Outer Platform, 70
vauxhall dr. on birchmount rd., Birchmount Rd at Vauxhall Dr, 90
waterbury & westway, Waterbury Dr at Martin Grove Rd, 50
royal york & dixon, Royal York Rd at Dixon Rd, 90
christie station, Christie Station, 100
bloor, Bloor St West at Ossington Ave, 40
duffeirn and dupont, Dufferin St at Dupont St, 90
sheppard ave and meadowvale, Sheppard Ave East at Meadowvale Rd, 90
sheppard @ meadowvale, Sheppard Ave East at Meadowvale Rd, 90
leslie and van horne, Leslie St at Van Horne Ave, 90
neilson and crow trail, Neilson Rd at Crow Trail, 90
54-lawrance route, NONE, NONE
keele and calvington, Keele St at Calvington Dr, 90
south at glen, South Dr at Glen Rd, 90
pjps, NONE, NONE
kennedy and sheppard, Kennedy Rd at Sheppard Ave East, 90
eglinton and blackcreek, Eglinton Ave West at Black Creek Dr, 95
industry and ray ave., Industry St at Ray Ave, 100
brebeuf coll at steeles, NONE, NONE
giltspur and jane, Jane St at Giltspur Dr, 95
east mall and yarn, The East Mall at Yarn Rd, 100
rogers to eglinton both ways, Rogers Rd at Eglinton Ave West, 50
jane and falstaff, Jane St at Falstaff Ave, 100
jane and falsaff, Jane St at Falstaff Ave, 90
old weston and st. clair to avon loop, St Clair Ave West at Old Weston Rd, 80
rogers to yore both ways, Keele St at Yore Rd, 50
richmond and jarvis, Parliament St at Front St East, 70
neilson and crow trail., Neilson Rd at Crow Trail, 95
warden and fairfax, Warden Ave at Fairfax Cres, 90
steeles/kennedy, Steeles Ave East at Kennedy Rd, 80
thornecliff route, NONE, 50
keele and rogers to black creek, Keele St at Rogers Rd, 60
ossington and harbord, Ossington Ave at Harbord St, 100
belmont and davenport, Davenport Rd at Belmont St, 90
keele and wilson, Keele St at Wilson Ave, 90
front and bay, Front St West at Bay St East Side - Union Station, 70
kingston road route, Kingston Rd, 80
yorkdale to queen, Dufferin St at Dufferin Park Ave, 40
martin grove loop,NONE, NONE
brian dr and margaret1, Brian Ave at Margaret Ave, 90
milner w/o executive crt, 125 Milner Ave, 70
culford road from maple leaf to gulliver, Culford Rd at Gulliver Rd, 90
alness avenue to founders road,Alness St at Steeles Ave West South Side, 60
brimley and progress, Brimley Rd at Progress Ave, 100
kipling avenue, Kipling Ave, 90
dsw station, Dundas West Station, 100
york u commons, York University Commons, 100
morningside & nighstar, Morningside Ave at Nightstar Rd, 90
old weston and st clair, Old Weston Rd at St Clair Ave West, 90
old weston rd at st. clair, Old Weston Rd at St Clair Ave West, 90
steeles and bayview loop, NONE, 0
eglinton and weston, Eglinton Ave West at Weston Rd, 90
keele and eglinton, Keele St at Eglinton Ave West, 90
st. clair and lansdowne, St Clair Ave West at Lansdowne Ave, 90
montressor dr and upper canada, Montressor Dr at Upper Canada Dr, 90
warden and kingston rd, Warden Ave at Kingston Rd, 100
weston road + bradstock, Weston Rd at Bradstock Rd, 95
steels loop @ mccowan rd., Steeles Ave East Loop, 60
st.clair w station, St Clair Ave West at Bathurst St East Side, 55
st.clair/dufferin, Eglinton Ave West at Dufferin St, 60
oakwood and st. clair, Oakwood Ave at St Clair Ave West, 90
sheppard & jane st., Sheppard Ave West at Jane St, 95
weston and st. clair, Weston Rd at St Clair Ave West South Side, 85
wilson & keele st., Wilson Ave at Keele St, 100
springhurst loop, NONE, NONE
exhibition, Exhibition Loop, 100
bay & wellington, Wellington St West at Bay St, 80
bathurst \ wilson, Bathurst St at Wilson Ave, 90
broadview station, Broadview Station, 100
eglinton ave w and martin grove rd, Eglinton Ave West at Martin Grove Rd, 90
wilson \ bathurst, Wilson Ave at Bathurst St, 90
ellesmere r.t. station, NONE, 50
tower and warden, Warden Ave at Tower Dr, 80
laird and mcrae, Laird Dr at McRae Dr, 100
freshmeadow and don mills, Freshmeadow Dr at Don Mills Rd, 90
emmett ave  / eglinton ave west, Eglinton Ave West at Emmett Ave, 90
st clair wstn, St Clair West Station, 100
duncan mill and don mills, Duncan Mill Rd at Don Mills Rd, 90
dundas at westmall crescent, Dundas St West at East Mall Cres West Side, 90
finch and mccowan, Finch Ave East at McCowan Rd, 100
alliance, Alliance Ave at Rockcliffe Blvd, 90
mcvp, Victoria Park Ave at McNicoll Ave, 70
Scarborough Town Center srt, Scarborough Centre Station, 80
yonge and steeles ave west, Yonge St at Steeles Ave West, 90
keele and falstaff, Keele St at Falstaff Ave, 100
albion/kipling, Albion Rd at Kipling Ave, 100
route145 humber exp, NONE, 0
wilson heights and waterloo, Wilson Heights Blvd at Waterloo Ave South Side, 90
york mills and chipstead, York Mills Rd at Chipstead Rd, 90
mccowan and finch av, McCowan Rd at Finch Ave East, 90
sheppard and kennedy, Sheppard Ave East at Kennedy Rd, 90
warden ave   hwy # 401, Birchmount Rd at Highway 401 - Walkway North of Rolark, 60
eglinton ave west / northcliff blvd, Eglinton Ave West at Northcliffe Blvd, 90
warden ave mc nicoll, Warden Ave at McNicoll Ave, 100
mt pleasant/eglinton, Mt Pleasant Rd at Eglinton Ave East, 90
oakwood ave at eglinton ave west, Oakwood Ave at Eglinton Ave West, 100
